          current_epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 1.0941,                0.97049,                 1.5929,                0.90411,                0.94285,                0.96788,                0.81292,                0.64562,                 0.7092,                 1.1233,              0.0008615,              0.0008615,              0.0008615
                    117,                  1.038,                0.92389,                 1.5811,                0.91454,                0.95263,                0.97678,                 0.8103,                0.67829,                 0.7368,                 1.1445,              0.0008516,              0.0008516,              0.0008516
                    118,                 1.0344,                0.90085,                  1.547,                 0.9082,                0.93729,                0.97304,                0.82368,                0.63127,                0.79146,                 1.1095,              0.0008417,              0.0008417,              0.0008417
                    119,                 1.0878,                0.90738,                 1.5625,                 0.8931,                0.91053,                 0.9591,                 0.8051,                0.65002,                 0.8376,                 1.1717,              0.0008318,              0.0008318,              0.0008318
                    120,                 1.0326,                0.96109,                 1.5244,                0.87656,                0.95263,                0.97269,                0.83578,                0.63013,                 0.7222,                  1.112,              0.0008219,              0.0008219,              0.0008219
                    121,                 1.0499,                0.89684,                 1.5399,                0.94242,                0.90526,                0.97953,                0.83988,                0.62802,                 0.7073,                 1.1153,               0.000812,               0.000812,               0.000812
                    122,                0.99306,                 0.8738,                 1.5223,                0.92301,                0.94651,                0.97937,                0.81489,                0.66467,                 0.6809,                 1.1643,              0.0008021,              0.0008021,              0.0008021
                    123,                  1.022,                0.85747,                 1.5307,                0.94682,                0.91579,                0.97485,                0.79753,                0.67412,                 0.6635,                 1.2095,              0.0007922,              0.0007922,              0.0007922
                    124,                 0.9934,                0.86818,                 1.4929,                0.96715,                0.92976,                0.98408,                0.82247,                  0.634,                0.60267,                 1.1444,              0.0007823,              0.0007823,              0.0007823
                    125,                 1.0128,                0.87073,                 1.5167,                0.95306,                0.96173,                0.99012,                0.84834,                0.64986,                0.59093,                 1.1199,              0.0007724,              0.0007724,              0.0007724
                    126,                0.97443,                0.85679,                 1.5158,                0.93315,                0.95789,                0.97971,                0.82442,                0.68859,                0.67935,                 1.1355,              0.0007625,              0.0007625,              0.0007625
                    127,                 1.0002,                0.88088,                 1.5122,                0.88691,                0.92105,                0.93116,                0.77078,                0.64837,                0.82966,                 1.1209,              0.0007526,              0.0007526,              0.0007526
                    128,                0.94775,                0.86183,                 1.4732,                0.87713,                0.93933,                0.92311,                0.75346,                0.64289,                0.89341,                 1.1207,              0.0007427,              0.0007427,              0.0007427
                    129,                 1.0638,                0.94413,                 1.5836,                0.89852,                0.93201,                 0.9365,                0.76801,                 0.6246,                0.82455,                 1.0987,              0.0007328,              0.0007328,              0.0007328
                    130,                0.94327,                0.82721,                 1.4629,                 0.9086,                 0.9418,                0.96377,                0.78506,                0.65997,                0.73388,                  1.169,              0.0007229,              0.0007229,              0.0007229
                    131,                0.89088,                0.83524,                 1.4383,                0.90776,                0.94737,                0.97642,                0.84747,                0.54662,                0.65292,                 1.0336,               0.000713,               0.000713,               0.000713
                    132,                0.92646,                0.84427,                 1.4808,                0.93232,                0.93684,                0.97864,                0.85799,                0.55122,                0.69194,                 1.0463,              0.0007031,              0.0007031,              0.0007031
                    133,                0.90583,                 0.8355,                 1.4452,                0.90118,                0.91192,                0.96614,                0.78519,                0.69388,                 0.9026,                 1.1769,              0.0006932,              0.0006932,              0.0006932
                    134,                0.94727,                0.81909,                  1.478,                0.81133,                0.79214,                0.84043,                0.60031,                0.90341,                 1.4997,                 1.4062,              0.0006833,              0.0006833,              0.0006833
                    135,                0.97658,                0.86008,                 1.4975,                0.88122,                0.93711,                0.93258,                0.79203,                0.62972,                0.78108,                 1.1381,              0.0006734,              0.0006734,              0.0006734
                    136,                0.93434,                 0.8715,                 1.4626,                0.86616,                0.91579,                0.91971,                0.75305,                 0.6649,                0.81844,                 1.2106,              0.0006635,              0.0006635,              0.0006635
                    137,                0.85343,                0.78033,                  1.399,                0.88487,                0.93158,                0.95005,                0.78736,                0.64706,                0.75512,                 1.1728,              0.0006536,              0.0006536,              0.0006536
                    138,                0.91917,                0.80633,                 1.4325,                0.92087,                0.95789,                0.98238,                0.82668,                0.61175,                0.65409,                 1.1459,              0.0006437,              0.0006437,              0.0006437
                    139,                0.87284,                0.77369,                 1.4178,                0.95255,                0.95091,                0.98232,                0.84107,                0.56439,                0.65628,                 1.0934,              0.0006338,              0.0006338,              0.0006338
                    140,                0.90518,                0.80046,                 1.4259,                0.94209,                0.95263,                0.98536,                0.85072,                0.56766,                 0.6408,                 1.0722,              0.0006239,              0.0006239,              0.0006239
                    141,                0.85075,                0.76867,                 1.4279,                0.93652,                0.93172,                0.98393,                0.81919,                  0.614,                0.71156,                  1.138,               0.000614,               0.000614,               0.000614
                    142,                0.84593,                0.78458,                 1.3925,                0.92913,                0.96842,                0.98449,                0.85396,                0.56068,                0.61887,                 1.0792,              0.0006041,              0.0006041,              0.0006041
                    143,                0.89416,                0.78387,                 1.4475,                0.90969,                0.95434,                0.93644,                0.77494,                0.63093,                0.73917,                 1.1698,              0.0005942,              0.0005942,              0.0005942
                    144,                0.83186,                0.71892,                 1.3809,                0.91478,                0.96316,                0.97257,                0.84585,                0.56922,                 0.6469,                 1.0717,              0.0005843,              0.0005843,              0.0005843
                    145,                0.87517,                0.77806,                 1.4258,                0.95276,                0.95541,                0.98498,                0.84688,                0.56505,                0.60848,                 1.0554,              0.0005744,              0.0005744,              0.0005744
                    146,                0.89273,                0.79431,                 1.4255,                0.92738,                0.94091,                0.96564,                0.81725,                0.54689,                0.67035,                 1.0911,              0.0005645,              0.0005645,              0.0005645
                    147,                0.82605,                0.73353,                 1.3804,                0.88762,                0.96316,                0.95884,                0.80563,                0.60947,                0.71645,                 1.1241,              0.0005546,              0.0005546,              0.0005546
